t_index   term                df                  
1212      nazi                1                   
1213      nazism              1                   
1214      nba                 1                   
1215      nbc                 1                   
1216      neal                1                   
1217      near                1                   
1218      neg                 1                   
1219      nervou              1                   
1220      nestl               1                   
1221      network             1                   
1222      neutral             1                   
1223      newborn             1                   
1224      news                15                  
1225      newspap             2                   
1226      nfl                 2                   
1227      nick                2                   
1228      nigeria             1                   
1229      nigerian            1                   
1230      night               3                   
1231      nod                 1                   
1232      nonsens             1                   
1233      north               1                   
1234      northcliff          1                   
1235      northeasterli       1                   
1236      northern            1                   
1237      notabl              1                   
1238      note                1                   
1239      novemb              4                   
1240      number              5                   
1241      nusr                1                   
1242      obscen              1                   
1243      observ              1                   
1244      obviou              1                   
1245      occur               1                   
1246      ocean               1                   
1247      octagon             1                   
1248      octob               4                   
1249      offens              2                   
1250      offer               3                   
1251      offic               6                   
1252      offici              5                   
1253      oklahoma            2                   
1254      okwonga             1                   
1255      older               2                   
1256      oldest              2                   
1257      olymp               2                   
1258      ongo                1                   
1259      onlin               2                   
1260      onslaught           1                   
1261      open                5                   
1262      oper                1                   
1263      oppon               1                   
1264      opportun            1                   
1265      oppos               1                   
1266      oppress             1                   
1267      orangeown           1                   
1268      ordeal              1                   
1269      ordega              1                   
1270      order               1                   
1271      organ               3                   
1272      origin              2                   
1273      orthodox            1                   
1274      oshoala             1                   
1275      oslo                1                   
1276      outcom              1                   
1277      outlet              1                   
1278      outrag              2                   
1279      ovat                1                   
1280      overcom             1                   
1281      overlook            1                   
1282      overtak             1                   
1283      overtaken           1                   
1284      overtli             1                   
1285      owe                 1                   
1286      own                 2                   
1287      owner               1                   
1288      ozdemir             1                   
1289      pace                1                   
1290      pack                2                   
1291      paid                3                   
1292      palio               1                   
1293      panel               1                   
1294      paolo               1                   
1295      parad               1                   
1296      parallel            1                   
1297      paramed             1                   
1298      parent              3                   
1299      pari                2                   
1300      parliament          5                   
1301      parliamentari       1                   
1302      parliamentarian     1                   
1303      part                9                   
1304      parti               4                   
1305      pass                6                   
1306      passeng             2                   
1307      passport            1                   
1308      past                4                   
1309      pat                 1                   
1310      patch               1                   
1311      path                1                   
1312      patriarch           1                   
1313      patriot             1                   
1314      pay                 2                   
1315      pen                 1                   
1316      penalti             1                   
1317      pennsylvania        1                   
1318      pension             1                   
1319      peopl               9                   
1320      perenni             1                   
1321      perfect             1                   
1322      period              2                   
1323      perpetr             2                   
1324      person              7                   
1325      peter               1                   
1326      petersburg          1                   
1327      petro               1                   
1328      phenomen            1                   
1329      phone               2                   
1330      photo               3                   
1331      phrase              1                   
1332      physic              1                   
1333      piazza              1                   
1334      pic                 1                   
1335      piccolo             1                   
1336      pictur              3                   
1337      picturesqu          1                   
1338      piec                1                   
1339      pinturault          1                   
1340      piotr               1                   
1341      pitch               1                   
1342      placard             1                   
1343      place               10                  
1344      plan                2                   
1345      planet              2                   
1346      platform            1                   
1347      platformth          1                   
1348      play                8                   
1349      player              5                   
1350      playoff             2                   
1351      pledg               2                   
1352      point               2                   
1353      pole                1                   
1354      polic               7                   
1355      policeman           1                   
1356      policemen           1                   
1357      polidori            1                   
1358      polish              1                   
1359      polit               5                   
1360      politician          3                   
1361      polyana             1                   
1362      polyanaviana        1                   
1363      pool                1                   
1364      poor                1                   
1365      popul               1                   
1366      populist            2                   
1367      poroshenko          1                   
1368      port                1                   
1369      portray             1                   
1370      posit               1                   
1371      post                9                   
1372      pot                 1                   
1373      potenti             3                   
1374      pound               1                   
1375      power               2                   
1376      practic             1                   
1377      prais               1                   
1378      pre                 1                   
1379      precautionari       1                   
1380      preced              1                   
1381      prefect             1                   
1382      premier             2                   
1383      prepar              2                   
1384      present             3                   
1385      presid              5                   
1386      presidenti          1                   
1387      press               3                   
1388      prestigi            1                   
1389      pretti              1                   
1390      prevail             2                   
1391      prevent             3                   
1392      previou             4                   
1393      price               1                   
1394      primat              1                   
1395      prime               1                   
1396      princ               1                   
1397      prior               1                   
1398      prix                1                   
1399      prize               1                   
1400      pro                 2                   
1401      profession          1                   
1402      program             1                   
1403      promin              1                   
1404      promis              1                   
1405      prompt              3                   
1406      properti            2                   
1407      prosecutor          1                   
1408      protect             1                   
1409      protest             3                   
1410      proud               2                   
1411      prove               2                   
